Time,Source,Location,ID,Username,Language,Favorite_count,Retweet_count,User_Followers_count,User_Statuses_Count,User_Friends_Count,Tweet
10/19/2022 2:11,Twitter for Android,"Bandung, Indonesia",1.58256E+18,acimon,in,0,0,73,53059,112,"b'rejeki dan mood booster ngantor versi aku diantaranya adalah ruangan kerja yang wangi terus punya roommate apik, bersih, ga berantakan (padahal dua-duanya cowo)\n\ncocok buat aku yang recet ini \xf0\x9f\xa5\xb2'"
10/19/2022 2:10,Twitter for Android,ðŸ†”,1.58255E+18,ã…ƒ,in,0,0,2508,124789,207,b'tiap video idol wamil ngedance hype boy lewat di tl aku pasti nonton. pls mood booster banget aku bahagia liatnyaa \xf0\x9f\xa5\xba\xf0\x9f\x96\xa4'
10/19/2022 2:09,Twitter for Android,Indonesia,1.58255E+18,Rade Eva Panjaitan,in,0,0,828,51145,837,b'Booster masih ada di mana aja ya kalo di jaksel?'
10/19/2022 2:09,Twitter for Android,,1.58255E+18,Bitquokka,in,0,0,14,679,72,b'Ternyata mimpi ini pertanda klo vaksin booster mulai ada lg wkwkw. Yeayyy udh booster jd ngonserr\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3'
10/19/2022 2:04,Twitter for Android,Indonesia,1.58255E+18,ðŸ¦ðŸ£Se_MeL_JaeðŸ‘ðŸ¦,in,1,1,251,79541,1324,"b'@whitelab_id Aku rela buat ketemu Sehun mood booster ku sejak lebih dari 10 tahun lalu, aku akan menghabiskan jatah cuti tahunanku dan menempuh jarak 960 km dengan waktu perjalanan kurang lebih 22 jam demi dapetin Golden Ticket untuk meet &amp"
10/19/2022 2:03,Twitter for iPhone,"Malang, Jawa Timur",1.58255E+18,sans,in,0,0,522,16186,198,"b'@FFOODFESS buat campuran kalo masak mpasi buat bayi, sekalian buat bb booster. kalo masak pake ini jg lebih gurih gitu rasanya'"
10/19/2022 2:03,Twitter for iPhone,Somewhere deep in your soul,1.58255E+18,Hilbram Dunar,in,1,1,31528,23620,397,b'Biar semangat dengerin https://t.co/P7aAIc3q7r\n\n@RCTIPlus @ROOVofficial https://t.co/wbPE1qd4WD'
10/19/2022 2:03,Twitter for Android,Surabaya. Indonesia,1.58255E+18,Slentem,in,0,0,78,718,162,"b'Disaat lagi males ama temen kerja yang annoying, ada mood booster dari ayank \xf0\x9f\xa5\xb0 https://t.co/0EymIA98hx'"
10/19/2022 2:02,KAI121,,1.58255E+18,Kereta Api Indonesia,in,0,0,1067941,1115411,18,b'@riaaapryn Silakan Kakak dapat melakukan vaksin booster terlebih dahulu ya. Informasi lengkap syarat dan ketentuan perjalanan dengan KA dapat dilakukan pengecekan via link https://t.co/Gex6hLrT8U. Trims. |2'
10/19/2022 2:02,KAI121,,1.58255E+18,Kereta Api Indonesia,in,0,0,1067941,1115411,18,"b'@riaaapryn Selamat pagi Kak. Mohon maaf, bagi penumpang berusia 18 tahun ke atas apabila ingin keberangkatan dengan KA Jarak Jauh wajib sudah vaksinasi dosis ketiga (booster) dan tidak perlu menunjukkan surat keterangan hasil negatif RT-PCR/Rapid Test Antigen. |1'"
10/19/2022 2:01,Twitter for Android,rant eyiâ™¡,1.58255E+18,Eyii,in,0,0,120,7182,110,"b'Sekarang mood booster gue liat video cipung,gemess bangetttt \xf0\x9f\x98\xad\xf0\x9f\xa4\x8f'"
10/19/2022 2:00,Twitter for iPhone,#KotaBharu,1.58255E+18,DEMICA,in,7,10,27839,21829,82,"b'Apa kata pengguna Demica Whitening Booster?\n\nKorang boleh baca sendiri feedback ikhlas dari pengguna setia Demica. Bila harga hanya RM12.90 untuk 1 flavour, memang mampu milik sangat untuk semua termasuk adik\xc2\xb2 sekolah.\n\n#Demica #DemiCantik #DemicaWhiteningBooster https://t.co/VaOXKDZ4nm'"
10/19/2022 2:00,Twitter Web App,,1.58255E+18,Wendy Fuentevilla,in,0,0,21,16,21,b'Bhabinkamtibmas tentunya bekerja keras menghimbau agar masyarakat taat #SelaluIngatProkesMasker . Ini sangat penting untuk memutuskan penyebaran Covid-19 varian Omicron BA.4 dan BA.5 wlaupun sudah dapat vaksin booster https://t.co/0J0iYf10gY'
10/19/2022 1:58,Twitter Web App,,1.58255E+18,rararara,in,0,0,16,78,51,b'makasih yaa buat playlist lagunya sayy\nmood booster banget\xf0\x9f\x98\x8c'
10/19/2022 1:53,Twitter for iPhone,kadang kadang di sekolah,1.58255E+18,Riyanik,in,0,0,147,19561,201,"b'@KAI121 min, kalo mau naik kereta jarak jauh apakah harus vaksin booster? kalau hanya vaksin 2 bagaimana min?'"
10/19/2022 1:51,Twitter Web App,surabaya city,1.58255E+18,Hud4,in,0,0,4,49,59,b'Mohon info kalo mau booster @e100ss'
10/19/2022 1:51,Twitter for Android,palembang,1.58255E+18,anisyah putri,in,0,0,384,18502,311,"b'@syartikaaa La d omongi cm slalu ngmng agek agek agek, pdhl anakny pd jauh dan la booster galo jugo jd agak susah deh kalo kemano mano nk ngajak pegi yg ad syarat booster yo dk bs d ajak \xf0\x9f\x98\x85'"
10/19/2022 1:46,Twitter for Android,They/she,1.58255E+18,oren,in,0,0,16,19239,749,b'Minggu lalu pake acuan daftar itu muter ke bbrp puskesmas emang lagi kosong stoknya. Akhirnya pas lagi ke rumah saudara di Malang tanya bbrp puskesmas hasilnya sama. Minggu ini udah niat mau booster tapi mau liat di pedulilindungi dulu biar lebih yakin maksudnya eh fiturnya ilang'
10/19/2022 1:46,Twitter Web App,,1.58255E+18,Kereta Api Indonesia,in,0,0,1067941,1115411,18,"b'@KataBagoes Selamat pagi Kak. Bila menggunakan KA jarak jauh, maka penumpang usia mulai 18 tahun keatas wajib sudah vaksin dosis ketiga/booster. Saat ini syarat melampirkan surat negatif antigen/RT-PCR sudah dihapus. Silakan booster terlebih dahulu ya. |1'"
10/19/2022 1:46,Salesforce - Social Studio,Indonesia,1.58255E+18,Traveloka Indonesia,in,0,0,165955,152542,63,"b'@muntyrizkya Hai, Munty. Penumpang yang sudah tervaksinasi 1 maupun 2 dosis, tidak diperkenankan melakukan perjalanan domestik ya. Penerbangan hanya bisa dilakukan jika sudah vaksin 3 dosis (booster). Informasi selengkapnya bisa kamu cek disini: https://t.co/PjdxxJojDz. Terima kasih. -SM'"
